Infinitive,притули́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,притули́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,притули́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,притулю́сь
2nd Sing,притули́шься
3rd Sing,притули́тся
1st Pl,притули́мся
2nd Pl,притули́тесь
3rd Pl,притуля́тся
Past M,притули́лся
Past F,притули́лась
Past N,притули́лось
Past PL,притули́лись
Imp S,притули́сь
Imp PL,притули́тесь
