Infinitive,прости́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прости́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прости́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прощу́сь
2nd Sing,прости́шься
3rd Sing,прости́тся
1st Pl,прости́мся
2nd Pl,прости́тесь
3rd Pl,простя́тся
Past M,прости́лся
Past F,прости́лась
Past N,прости́лось
Past PL,прости́лись
Imp S,прости́сь
Imp PL,прости́тесь
