Infinitive,проложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проложу́
2nd Sing,проло́жишь
3rd Sing,проло́жит
1st Pl,проло́жим
2nd Pl,проло́жите
3rd Pl,проло́жат
Past M,проложи́л
Past F,проложи́ла
Past N,проложи́ло
Past PL,проложи́ли
Imp S,проложи́
Imp PL,проложи́те
