Infinitive,припря́тать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,припря́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припря́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,припря́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,припря́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,припря́чу
2nd Sing,припря́чешь
3rd Sing,припря́чет
1st Pl,припря́чем
2nd Pl,припря́чете
3rd Pl,припря́чут
Past M,припря́тал
Past F,припря́тала
Past N,припря́тало
Past PL,припря́тали
Imp S,припря́чь
Imp PL,припря́чьте
