Infinitive,причеса́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,причеса́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,причеса́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,причешу́сь
2nd Sing,приче́шешься
3rd Sing,приче́шется
1st Pl,приче́шемся
2nd Pl,приче́шетесь
3rd Pl,приче́шутся
Past M,причеса́лся
Past F,причеса́лась
Past N,причеса́лось
Past PL,причеса́лись
Imp S,причеши́сь
Imp PL,причеши́тесь
