Infinitive,проби́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пробью́
2nd Sing,пробьёшь
3rd Sing,пробьёт
1st Pl,пробьём
2nd Pl,пробьёте
3rd Pl,пробью́т
Past M,проби́л
Past F,проби́ла
Past N,проби́ло
Past PL,проби́ли
Imp S,пробе́й
Imp PL,пробе́йте
