Infinitive,причита́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,причита́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,причита́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,причита́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,причита́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,причита́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,причита́ю
2nd Sing,причита́ешь
3rd Sing,причита́ет
1st Pl,причита́ем
2nd Pl,причита́ете
3rd Pl,причита́ют
Past M,причита́л
Past F,причита́ла
Past N,причита́ло
Past PL,причита́ли
Imp S,причита́й
Imp PL,причита́йте
