Infinitive,просо́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,просо́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просо́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,просо́хну
2nd Sing,просо́хнешь
3rd Sing,просо́хнет
1st Pl,просо́хнем
2nd Pl,просо́хнете
3rd Pl,просо́хнут
Past M,просо́х
Past F,просо́хла
Past N,просо́хло
Past PL,просо́хли
Imp S,просо́хни
Imp PL,просо́хните
