Infinitive,пря́таться
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пря́чущийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пря́тавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пря́чась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пря́тавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пря́чусь
2nd Sing,пря́чешься
3rd Sing,пря́чется
1st Pl,пря́чемся
2nd Pl,пря́четесь
3rd Pl,пря́чутся
Past M,пря́тался
Past F,пря́талась
Past N,пря́талось
Past PL,пря́тались
Imp S,пря́чься
Imp PL,пря́чьтесь
