Infinitive,припра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,припра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,припра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,припра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,припра́влю
2nd Sing,припра́вишь
3rd Sing,припра́вит
1st Pl,припра́вим
2nd Pl,припра́вите
3rd Pl,припра́вят
Past M,припра́вил
Past F,припра́вила
Past N,припра́вило
Past PL,припра́вили
Imp S,припра́вь
Imp PL,припра́вьте
