Infinitive,приве́тствоваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приве́тствующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приве́тствовавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приве́тствуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приве́тствовавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приве́тствуюсь
2nd Sing,приве́тствуешься
3rd Sing,приве́тствуется
1st Pl,приве́тствуемся
2nd Pl,приве́тствуетесь
3rd Pl,приве́тствуются
Past M,приве́тствовался
Past F,приве́тствовалась
Past N,приве́тствовалось
Past PL,приве́тствовались
Imp S,приве́тствуйся
Imp PL,приве́тствуйтесь
