Infinitive,приравня́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приравня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прира́вненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приравня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приравня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приравня́ю
2nd Sing,приравня́ешь
3rd Sing,приравня́ет
1st Pl,приравня́ем
2nd Pl,приравня́ете
3rd Pl,приравня́ют
Past M,приравня́л
Past F,приравня́ла
Past N,приравня́ло
Past PL,приравня́ли
Imp S,приравня́й
Imp PL,приравня́йте
