Infinitive,принадлежа́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,принадлежа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,принадлежа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,принадлежа́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,принадлежа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,принадлежа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,принадлежу́
2nd Sing,принадлежи́шь
3rd Sing,принадлежи́т
1st Pl,принадлежи́м
2nd Pl,принадлежи́те
3rd Pl,принадлежа́т
Past M,принадлежа́л
Past F,принадлежа́ла
Past N,принадлежа́ло
Past PL,принадлежа́ли
Imp S,принадлежи́
Imp PL,принадлежи́те
