Infinitive,прогна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прогна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прогна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прогна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прогоню́
2nd Sing,прого́нишь
3rd Sing,прого́нит
1st Pl,прого́ним
2nd Pl,прого́ните
3rd Pl,прого́нят
Past M,прогна́л
Past F,прогнала́
Past N,прогна́ло
Past PL,прогна́ли
Imp S,прогони́
Imp PL,прогони́те
