Infinitive,пригото́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пригото́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригото́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригото́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пригото́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пригото́влю
2nd Sing,пригото́вишь
3rd Sing,пригото́вит
1st Pl,пригото́вим
2nd Pl,пригото́вите
3rd Pl,пригото́вят
Past M,пригото́вил
Past F,пригото́вила
Past N,пригото́вило
Past PL,пригото́вили
Imp S,пригото́вь
Imp PL,пригото́вьте
