Infinitive,проясня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проясня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проясня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проясня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проясня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проясня́юсь
2nd Sing,проясня́ешься
3rd Sing,проясня́ется
1st Pl,проясня́емся
2nd Pl,проясня́етесь
3rd Pl,проясня́ются
Past M,проясня́лся
Past F,проясня́лась
Past N,проясня́лось
Past PL,проясня́лись
Imp S,проясня́йся
Imp PL,проясня́йтесь
