Infinitive,приню́хаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приню́хавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приню́хавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приню́хаюсь
2nd Sing,приню́хаешься
3rd Sing,приню́хается
1st Pl,приню́хаемся
2nd Pl,приню́хаетесь
3rd Pl,приню́хаются
Past M,приню́хался
Past F,приню́халась
Past N,приню́халось
Past PL,приню́хались
Imp S,приню́хайся
Imp PL,приню́хайтесь
