Infinitive,приземли́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приземли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приземли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приземлю́сь
2nd Sing,приземли́шься
3rd Sing,приземли́тся
1st Pl,приземли́мся
2nd Pl,приземли́тесь
3rd Pl,приземля́тся
Past M,приземли́лся
Past F,приземли́лась
Past N,приземли́лось
Past PL,приземли́лись
Imp S,приземли́сь
Imp PL,приземли́тесь
