Infinitive,приостанови́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приостанови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приостано́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приостанови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приостанови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приостановлю́
2nd Sing,приостано́вишь
3rd Sing,приостано́вит
1st Pl,приостано́вим
2nd Pl,приостано́вите
3rd Pl,приостано́вят
Past M,приостанови́л
Past F,приостанови́ла
Past N,приостанови́ло
Past PL,приостанови́ли
Imp S,приостанови́
Imp PL,приостанови́те
