Infinitive,проры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проро́ю
2nd Sing,проро́ешь
3rd Sing,проро́ет
1st Pl,проро́ем
2nd Pl,проро́ете
3rd Pl,проро́ют
Past M,проры́л
Past F,проры́ла
Past N,проры́ло
Past PL,проры́ли
Imp S,проро́й
Imp PL,проро́йте
