Infinitive,прорабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прорабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прорабо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прорабо́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прорабо́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прорабо́таю
2nd Sing,прорабо́таешь
3rd Sing,прорабо́тает
1st Pl,прорабо́таем
2nd Pl,прорабо́таете
3rd Pl,прорабо́тают
Past M,прорабо́тал
Past F,прорабо́тала
Past N,прорабо́тало
Past PL,прорабо́тали
Imp S,прорабо́тай
Imp PL,прорабо́тайте
