Infinitive,простуди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,простуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просту́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,простуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,простуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,простужу́
2nd Sing,просту́дишь
3rd Sing,просту́дит
1st Pl,просту́дим
2nd Pl,просту́дите
3rd Pl,просту́дят
Past M,простуди́л
Past F,простуди́ла
Past N,простуди́ло
Past PL,простуди́ли
Imp S,простуди́
Imp PL,простуди́те
