Infinitive,придира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,придира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,придира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,придира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,придира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,придира́юсь
2nd Sing,придира́ешься
3rd Sing,придира́ется
1st Pl,придира́емся
2nd Pl,придира́етесь
3rd Pl,придира́ются
Past M,придира́лся
Past F,придира́лась
Past N,придира́лось
Past PL,придира́лись
Imp S,придира́йся
Imp PL,придира́йтесь
