Infinitive,просмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просмотрю́
2nd Sing,просмо́тришь
3rd Sing,просмо́трит
1st Pl,просмо́трим
2nd Pl,просмо́трите
3rd Pl,просмо́трят
Past M,просмотре́л
Past F,просмотре́ла
Past N,просмотре́ло
Past PL,просмотре́ли
Imp S,просмотри́
Imp PL,просмотри́те
