Infinitive,приседа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,приседа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приседа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приседа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приседа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,приседа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,приседа́ю
2nd Sing,приседа́ешь
3rd Sing,приседа́ет
1st Pl,приседа́ем
2nd Pl,приседа́ете
3rd Pl,приседа́ют
Past M,приседа́л
Past F,приседа́ла
Past N,приседа́ло
Past PL,приседа́ли
Imp S,приседа́й
Imp PL,приседа́йте
