Infinitive,претерпе́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,претерпе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,претерпе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,претерпе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,претерплю́
2nd Sing,прете́рпишь
3rd Sing,прете́рпит
1st Pl,прете́рпим
2nd Pl,прете́рпите
3rd Pl,прете́рпят
Past M,претерпе́л
Past F,претерпе́ла
Past N,претерпе́ло
Past PL,претерпе́ли
Imp S,претерпи́
Imp PL,претерпи́те
