Infinitive,претерпева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,претерпева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,претерпева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,претерпева́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,претерпева́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,претерпева́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,претерпева́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,претерпева́ю
2nd Sing,претерпева́ешь
3rd Sing,претерпева́ет
1st Pl,претерпева́ем
2nd Pl,претерпева́ете
3rd Pl,претерпева́ют
Past M,претерпева́л
Past F,претерпева́ла
Past N,претерпева́ло
Past PL,претерпева́ли
Imp S,претерпева́й
Imp PL,претерпева́йте
