Infinitive,прониза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прониза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прони́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прониза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прониза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пронижу́
2nd Sing,прони́жешь
3rd Sing,прони́жет
1st Pl,прони́жем
2nd Pl,прони́жете
3rd Pl,прони́жут
Past M,прониза́л
Past F,прониза́ла
Past N,прониза́ло
Past PL,прониза́ли
Imp S,пронижи́
Imp PL,пронижи́те
