Infinitive,приписа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приписа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приписа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приписа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,припишу́
2nd Sing,припи́шешь
3rd Sing,припи́шет
1st Pl,припи́шем
2nd Pl,припи́шете
3rd Pl,припи́шут
Past M,приписа́л
Past F,приписа́ла
Past N,приписа́ло
Past PL,приписа́ли
Imp S,припиши́
Imp PL,припиши́те
