Infinitive,прису́тствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прису́тствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прису́тствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прису́тствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прису́тствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прису́тствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прису́тствую
2nd Sing,прису́тствуешь
3rd Sing,прису́тствует
1st Pl,прису́тствуем
2nd Pl,прису́тствуете
3rd Pl,прису́тствуют
Past M,прису́тствовал
Past F,прису́тствовала
Past N,прису́тствовало
Past PL,прису́тствовали
Imp S,прису́тствуй
Imp PL,прису́тствуйте
