Infinitive,привле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,привлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,привлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,привлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,привлеку́
2nd Sing,привлечёшь
3rd Sing,привлечёт
1st Pl,привлечём
2nd Pl,привлечёте
3rd Pl,привлеку́т
Past M,привлёк
Past F,привлекла́
Past N,привлекло́
Past PL,привлекли́
Imp S,привлеки́
Imp PL,привлеки́те
