Infinitive,продава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,продава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,продава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продаю́сь
2nd Sing,продаёшься
3rd Sing,продаётся
1st Pl,продаёмся
2nd Pl,продаётесь
3rd Pl,продаю́тся
Past M,продава́лся
Past F,продава́лась
Past N,продава́лось
Past PL,продава́лись
Imp S,продава́йся
Imp PL,продава́йтесь
