Infinitive,прикова́ть
Zaliznyak Class,2b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прико́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикую́
2nd Sing,прикуёшь
3rd Sing,прикуёт
1st Pl,прикуём
2nd Pl,прикуёте
3rd Pl,прикую́т
Past M,прикова́л
Past F,прикова́ла
Past N,прикова́ло
Past PL,прикова́ли
Imp S,прику́й
Imp PL,прику́йте
