Infinitive,приостана́вливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приостана́вливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приостана́вливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приостана́вливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приостана́вливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приостана́вливаюсь
2nd Sing,приостана́вливаешься
3rd Sing,приостана́вливается
1st Pl,приостана́вливаемся
2nd Pl,приостана́вливаетесь
3rd Pl,приостана́вливаются
Past M,приостана́вливался
Past F,приостана́вливалась
Past N,приостана́вливалось
Past PL,приостана́вливались
Imp S,приостана́вливайся
Imp PL,приостана́вливайтесь
