Infinitive,проле́чь
Zaliznyak Class,8a/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пролёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пролёгши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проля́гу
2nd Sing,проля́жешь
3rd Sing,проля́жет
1st Pl,проля́жем
2nd Pl,проля́жете
3rd Pl,проля́гут
Past M,пролёг
Past F,пролегла́
Past N,пролегло́
Past PL,пролегли́
Imp S,проля́г
Imp PL,проля́гте
