Infinitive,протяну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,протяну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,протяну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,протяну́сь
2nd Sing,протя́нешься
3rd Sing,протя́нется
1st Pl,протя́немся
2nd Pl,протя́нетесь
3rd Pl,протя́нутся
Past M,протяну́лся
Past F,протяну́лась
Past N,протяну́лось
Past PL,протяну́лись
Imp S,протяни́сь
Imp PL,протяни́тесь
