Infinitive,прогну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прогну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прогну́сь
2nd Sing,прогнёшься
3rd Sing,прогнётся
1st Pl,прогнёмся
2nd Pl,прогнётесь
3rd Pl,прогну́тся
Past M,прогну́лся
Past F,прогну́лась
Past N,прогну́лось
Past PL,прогну́лись
Imp S,прогни́сь
Imp PL,прогни́тесь
