Infinitive,протрезве́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,протрезве́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,протрезве́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,протрезве́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,протрезве́ю
2nd Sing,протрезве́ешь
3rd Sing,протрезве́ет
1st Pl,протрезве́ем
2nd Pl,протрезве́ете
3rd Pl,протрезве́ют
Past M,протрезве́л
Past F,протрезве́ла
Past N,протрезве́ло
Past PL,протрезве́ли
Imp S,протрезве́й
Imp PL,протрезве́йте
