Infinitive,прикрепля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прикрепля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикрепля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикрепля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прикрепля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикрепля́юсь
2nd Sing,прикрепля́ешься
3rd Sing,прикрепля́ется
1st Pl,прикрепля́емся
2nd Pl,прикрепля́етесь
3rd Pl,прикрепля́ются
Past M,прикрепля́лся
Past F,прикрепля́лась
Past N,прикрепля́лось
Past PL,прикрепля́лись
Imp S,прикрепля́йся
Imp PL,прикрепля́йтесь
