Infinitive,примири́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,примири́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,примирённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,примири́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,примири́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,примирю́
2nd Sing,примири́шь
3rd Sing,примири́т
1st Pl,примири́м
2nd Pl,примири́те
3rd Pl,примиря́т
Past M,примири́л
Past F,примири́ла
Past N,примири́ло
Past PL,примири́ли
Imp S,примири́
Imp PL,примири́те
