Infinitive,провини́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,провини́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,провини́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,провиню́сь
2nd Sing,провини́шься
3rd Sing,провини́тся
1st Pl,провини́мся
2nd Pl,провини́тесь
3rd Pl,провиня́тся
Past M,провини́лся
Past F,провини́лась
Past N,провини́лось
Past PL,провини́лись
Imp S,провини́сь
Imp PL,провини́тесь
