Infinitive,проскользну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проскользну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проскользну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,проскользну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,проскользну́
2nd Sing,проскользнёшь
3rd Sing,проскользнёт
1st Pl,проскользнём
2nd Pl,проскользнёте
3rd Pl,проскользну́т
Past M,проскользну́л
Past F,проскользну́ла
Past N,проскользну́ло
Past PL,проскользну́ли
Imp S,проскользни́
Imp PL,проскользни́те
