Infinitive,протестова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,протесту́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,протестова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,протесту́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,протестова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,протестова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,протесту́ю
2nd Sing,протесту́ешь
3rd Sing,протесту́ет
1st Pl,протесту́ем
2nd Pl,протесту́ете
3rd Pl,протесту́ют
Past M,протестова́л
Past F,протестова́ла
Past N,протестова́ло
Past PL,протестова́ли
Imp S,протесту́й
Imp PL,протесту́йте
