Infinitive,проти́скиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проти́скивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проти́скивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проти́скиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проти́скивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проти́скиваюсь
2nd Sing,проти́скиваешься
3rd Sing,проти́скивается
1st Pl,проти́скиваемся
2nd Pl,проти́скиваетесь
3rd Pl,проти́скиваются
Past M,проти́скивался
Past F,проти́скивалась
Past N,проти́скивалось
Past PL,проти́скивались
Imp S,проти́скивайся
Imp PL,проти́скивайтесь
