Infinitive,прозва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прозва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́званный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прозва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прозва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прозову́
2nd Sing,прозовёшь
3rd Sing,прозовёт
1st Pl,прозовём
2nd Pl,прозовёте
3rd Pl,прозову́т
Past M,прозва́л
Past F,прозвала́
Past N,прозва́ло
Past PL,прозва́ли
Imp S,прозови́
Imp PL,прозови́те
