Infinitive,прибыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прибыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прибыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прибыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прибыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прибыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прибыва́ю
2nd Sing,прибыва́ешь
3rd Sing,прибыва́ет
1st Pl,прибыва́ем
2nd Pl,прибыва́ете
3rd Pl,прибыва́ют
Past M,прибыва́л
Past F,прибыва́ла
Past N,прибыва́ло
Past PL,прибыва́ли
Imp S,прибыва́й
Imp PL,прибыва́йте
