Infinitive,прихло́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прихло́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прихло́пнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прихло́пнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прихло́пнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прихло́пну
2nd Sing,прихло́пнешь
3rd Sing,прихло́пнет
1st Pl,прихло́пнем
2nd Pl,прихло́пнете
3rd Pl,прихло́пнут
Past M,прихло́пнул
Past F,прихло́пнула
Past N,прихло́пнуло
Past PL,прихло́пнули
Imp S,прихло́пни
Imp PL,прихло́пните
