Infinitive,прости́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прости́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прощённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прости́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прости́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прощу́
2nd Sing,прости́шь
3rd Sing,прости́т
1st Pl,прости́м
2nd Pl,прости́те
3rd Pl,простя́т
Past M,прости́л
Past F,прости́ла
Past N,прости́ло
Past PL,прости́ли
Imp S,прости́
Imp PL,прости́те
