Infinitive,призна́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,призна́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,призна́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,призна́юсь
2nd Sing,призна́ешься
3rd Sing,призна́ется
1st Pl,призна́емся
2nd Pl,призна́етесь
3rd Pl,призна́ются
Past M,призна́лся
Past F,призна́лась
Past N,призна́лось
Past PL,призна́лись
Imp S,призна́йся
Imp PL,призна́йтесь
