Infinitive,прогре́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прогре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогре́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прогре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прогре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прогре́ю
2nd Sing,прогре́ешь
3rd Sing,прогре́ет
1st Pl,прогре́ем
2nd Pl,прогре́ете
3rd Pl,прогре́ют
Past M,прогре́л
Past F,прогре́ла
Past N,прогре́ло
Past PL,прогре́ли
Imp S,прогре́й
Imp PL,прогре́йте
