Infinitive,приготовля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приготовля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приготовля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приготовля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приготовля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приготовля́юсь
2nd Sing,приготовля́ешься
3rd Sing,приготовля́ется
1st Pl,приготовля́емся
2nd Pl,приготовля́етесь
3rd Pl,приготовля́ются
Past M,приготовля́лся
Past F,приготовля́лась
Past N,приготовля́лось
Past PL,приготовля́лись
Imp S,приготовля́йся
Imp PL,приготовля́йтесь
