Infinitive,пробужда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пробужда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробужда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пробужда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пробужда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пробужда́юсь
2nd Sing,пробужда́ешься
3rd Sing,пробужда́ется
1st Pl,пробужда́емся
2nd Pl,пробужда́етесь
3rd Pl,пробужда́ются
Past M,пробужда́лся
Past F,пробужда́лась
Past N,пробужда́лось
Past PL,пробужда́лись
Imp S,пробужда́йся
Imp PL,пробужда́йтесь
