Infinitive,предста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предста́влю
2nd Sing,предста́вишь
3rd Sing,предста́вит
1st Pl,предста́вим
2nd Pl,предста́вите
3rd Pl,предста́вят
Past M,предста́вил
Past F,предста́вила
Past N,предста́вило
Past PL,предста́вили
Imp S,предста́вь
Imp PL,предста́вьте
