Infinitive,пригоди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пригоди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригоди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пригожу́сь
2nd Sing,пригоди́шься
3rd Sing,пригоди́тся
1st Pl,пригоди́мся
2nd Pl,пригоди́тесь
3rd Pl,пригодя́тся
Past M,пригоди́лся
Past F,пригоди́лась
Past N,пригоди́лось
Past PL,пригоди́лись
Imp S,пригоди́сь
Imp PL,пригоди́тесь
