Infinitive,проступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проступи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,проступи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,проступлю́
2nd Sing,просту́пишь
3rd Sing,просту́пит
1st Pl,просту́пим
2nd Pl,просту́пите
3rd Pl,просту́пят
Past M,проступи́л
Past F,проступи́ла
Past N,проступи́ло
Past PL,проступи́ли
Imp S,проступи́
Imp PL,проступи́те
