Infinitive,проползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пропо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проползу́
2nd Sing,проползёшь
3rd Sing,проползёт
1st Pl,проползём
2nd Pl,проползёте
3rd Pl,проползу́т
Past M,пропо́лз
Past F,проползла́
Past N,проползло́
Past PL,проползли́
Imp S,проползи́
Imp PL,проползи́те
