Infinitive,прогуля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прогуля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогу́лянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прогуля́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прогуля́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прогуля́ю
2nd Sing,прогуля́ешь
3rd Sing,прогуля́ет
1st Pl,прогуля́ем
2nd Pl,прогуля́ете
3rd Pl,прогуля́ют
Past M,прогуля́л
Past F,прогуля́ла
Past N,прогуля́ло
Past PL,прогуля́ли
Imp S,прогуля́й
Imp PL,прогуля́йте
