Infinitive,прилипа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прилипа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прилипа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прилипа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прилипа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прилипа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прилипа́ю
2nd Sing,прилипа́ешь
3rd Sing,прилипа́ет
1st Pl,прилипа́ем
2nd Pl,прилипа́ете
3rd Pl,прилипа́ют
Past M,прилипа́л
Past F,прилипа́ла
Past N,прилипа́ло
Past PL,прилипа́ли
Imp S,прилипа́й
Imp PL,прилипа́йте
