Infinitive,продра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,продра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́дранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,продра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продеру́
2nd Sing,продерёшь
3rd Sing,продерёт
1st Pl,продерём
2nd Pl,продерёте
3rd Pl,продеру́т
Past M,продра́л
Past F,продрала́
Past N,продра́ло
Past PL,продра́ли
Imp S,продери́
Imp PL,продери́те
