Infinitive,проти́виться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проти́вящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проти́вившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проти́вясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проти́вившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проти́влюсь
2nd Sing,проти́вишься
3rd Sing,проти́вится
1st Pl,проти́вимся
2nd Pl,проти́витесь
3rd Pl,проти́вятся
Past M,проти́вился
Past F,проти́вилась
Past N,проти́вилось
Past PL,проти́вились
Imp S,проти́вься
Imp PL,проти́вьтесь
