Infinitive,проболта́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проболта́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проболта́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проболта́юсь
2nd Sing,проболта́ешься
3rd Sing,проболта́ется
1st Pl,проболта́емся
2nd Pl,проболта́етесь
3rd Pl,проболта́ются
Past M,проболта́лся
Past F,проболта́лась
Past N,проболта́лось
Past PL,проболта́лись
Imp S,проболта́йся
Imp PL,проболта́йтесь
