Infinitive,проти́снуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проти́снувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проти́снувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проти́снусь
2nd Sing,проти́снешься
3rd Sing,проти́снется
1st Pl,проти́снемся
2nd Pl,проти́снетесь
3rd Pl,проти́снутся
Past M,проти́снулся
Past F,проти́снулась
Past N,проти́снулось
Past PL,проти́снулись
Imp S,проти́снись
Imp PL,проти́снитесь
