Infinitive,предостерега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предостерега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предостерега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предостерега́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предостерега́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,предостерега́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,предостерега́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,предостерега́ю
2nd Sing,предостерега́ешь
3rd Sing,предостерега́ет
1st Pl,предостерега́ем
2nd Pl,предостерега́ете
3rd Pl,предостерега́ют
Past M,предостерега́л
Past F,предостерега́ла
Past N,предостерега́ло
Past PL,предостерега́ли
Imp S,предостерега́й
Imp PL,предостерега́йте
