Infinitive,прико́нчить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прико́нчивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прико́нченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прико́нчив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прико́нчивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прико́нчу
2nd Sing,прико́нчишь
3rd Sing,прико́нчит
1st Pl,прико́нчим
2nd Pl,прико́нчите
3rd Pl,прико́нчат
Past M,прико́нчил
Past F,прико́нчила
Past N,прико́нчило
Past PL,прико́нчили
Imp S,прико́нчи
Imp PL,прико́нчите
